ID;Sito;Zona;Attiva;Codice;Longitudine;Latitudine
253;Viale Legioni Romane 54;6;1;E0036;9,127528;45,459232
254;Viale Luigi Sturzo 49;9;1;E0234;9,185682;45,484203
255;Viale Miguel de Cervantes 1;1;0;E0202;9,175246;45,475456
256;Viale Monte Grappa 8;9;1;E0723;9,190949;45,48064
257;Viale Puglie 33;4;1;E0127;9,223719;45,450062
258;Viale regina Margherita - Rotonda Besana;1;0;E0324;9,205361;45,459873
259;Viale Vincent Van Gogh 10;3;1;E1052;9,252391;45,494568
260;Viale Zara 100;2;1;E0042;9,195876;45,49736
261;Piazzale Maciachini;9;1;A0083;9,184935;45,497812
;;;;;;
;;;;;;
